model_name,shot_strategy,planning,procedural,score_creative_alignment,score_instructional_precision,score_emergence,score_structural_coherence,score_programmatic_validation,score_tree_edit_distance,score_jaccard_similarity,param_nesting_complexity,param_component_complexity,procedural_code_hash,description_style,description_detail
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,1,0.5789,4,5,5a07d4c7881a4868d382494ad97b131c2877dd26d0f1868c1e8d737cfcff31bc,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,16,0.35,4,5,5a07d4c7881a4868d382494ad97b131c2877dd26d0f1868c1e8d737cfcff31bc,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,18,0.4286,4,5,5a07d4c7881a4868d382494ad97b131c2877dd26d0f1868c1e8d737cfcff31bc,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,5,0.3529,5,4,3d9dc5f16fcd302a1e14db369d41a3ed641f6cd4c1b5e7c7bd19ff0e1ee06559,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,1,0.4211,5,4,3d9dc5f16fcd302a1e14db369d41a3ed641f6cd4c1b5e7c7bd19ff0e1ee06559,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,7,0.3529,5,4,3d9dc5f16fcd302a1e14db369d41a3ed641f6cd4c1b5e7c7bd19ff0e1ee06559,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,9,0.3684,5,4,3d9dc5f16fcd302a1e14db369d41a3ed641f6cd4c1b5e7c7bd19ff0e1ee06559,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,3,0.1667,1,3,8e36c9bc445676c067a3f17a47a842e2554bf03422df9b3af5c419a9b53f39b7,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,0,0.5,1,3,8e36c9bc445676c067a3f17a47a842e2554bf03422df9b3af5c419a9b53f39b7,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,5,0.125,1,3,8e36c9bc445676c067a3f17a47a842e2554bf03422df9b3af5c419a9b53f39b7,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,5,0.2222,1,3,8e36c9bc445676c067a3f17a47a842e2554bf03422df9b3af5c419a9b53f39b7,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,13,0.4286,5,2,33e71d5963301978bf9b81d32a08286d925b422da33e2730f575399dd0b7ed7e,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,2,0.5882,5,2,33e71d5963301978bf9b81d32a08286d925b422da33e2730f575399dd0b7ed7e,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,13,0.4118,5,2,33e71d5963301978bf9b81d32a08286d925b422da33e2730f575399dd0b7ed7e,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Failed,10,0.5,5,2,33e71d5963301978bf9b81d32a08286d925b422da33e2730f575399dd0b7ed7e,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,13,0.3571,4,2,3d54b6710d4e1954eb31331c7c019217f66869bbfb36b9a6cafb8a94cd89f4d8,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,1,0.5333,4,2,3d54b6710d4e1954eb31331c7c019217f66869bbfb36b9a6cafb8a94cd89f4d8,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,13,0.3077,4,2,3d54b6710d4e1954eb31331c7c019217f66869bbfb36b9a6cafb8a94cd89f4d8,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,5,0.4667,4,2,3d54b6710d4e1954eb31331c7c019217f66869bbfb36b9a6cafb8a94cd89f4d8,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,5,0.3077,2,3,4ca4b759f005ed0b24df9ba8df1ca1c4dd238e943f962415ac217d64b17efeb9,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,1,0.4167,2,3,4ca4b759f005ed0b24df9ba8df1ca1c4dd238e943f962415ac217d64b17efeb9,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,6,0.3333,2,3,4ca4b759f005ed0b24df9ba8df1ca1c4dd238e943f962415ac217d64b17efeb9,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,2,0.4167,2,3,4ca4b759f005ed0b24df9ba8df1ca1c4dd238e943f962415ac217d64b17efeb9,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,15,0.4375,4,5,dcdd0df5a5254de7cd18e2fc35765203d0ec8d0f368048d0e87fdd53f0fe87ac,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,2,0.5789,4,5,dcdd0df5a5254de7cd18e2fc35765203d0ec8d0f368048d0e87fdd53f0fe87ac,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,15,0.3478,4,5,dcdd0df5a5254de7cd18e2fc35765203d0ec8d0f368048d0e87fdd53f0fe87ac,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Failed,18,0.4091,4,5,dcdd0df5a5254de7cd18e2fc35765203d0ec8d0f368048d0e87fdd53f0fe87ac,narrative,detailed
